Candidate,Tweet,Score,Magnitude
Atiku,Since President Buhari came to power in May 2015 Nigeria s stock market has fallen more than any other in the world dropping 50 in dollar terms That may hurt him in this weekend s elections though many are wary of his main opponent Atiku,-0.300000012,0.300000012
Atiku,Lagos now awaits Atiku PDP rally today at Tafawa Balewa Square,0,0
Atiku,Immediate past deputy governor of Ekiti State Kolapo Olusola implores people to vote for Atiku Abubakar and all PDP National Assembly candidates says APC has nothing to offer Atiku KolapoOlusola TGNElectionWatch NigeriaDecides2019 Nigeria,-0.100000001,0.100000001
Atiku,RT It s fresh in my mind how PDP planned to suck the breasts of MotherNigeria dry but God intervened after many churche,0.200000003,0.200000003
Atiku,RT Tinubu with Atiku supporters The last days before elections is very important A lot of people will switch loyalty whe,0,0
Atiku,RT Can t believe a Big Celestial church around my house is telling all youth not to go out to vote on the 16th They claim its a,-0.100000001,0.100000001
Atiku,RT The recent rally in Nigeria s stocks may pick up steam if there a change in government after this weekend presiden,0,0
Atiku,RT We are on ground for Atiku nWelcome our incoming president H E AtikuinRivers AtikuInPortHarcourt AtikuInPH http,0,0
Atiku,It s fresh in my mind how PDP planned to suck the breasts of MotherNigeria dry but God intervened after many churches prayers Even their selfish senior chief priest OlusegunObasanjo AKA OBJ wanted to make himself a life president Atiku may try the same thing IRememberPDP,-0.100000001,0.100000001
Atiku,RT ayomide And some fools will be shouting BuhariMustGo and Atiku of must be voted back to power to get what worki,-0.5,0.5
Atiku,Happening now President Buhari and Atikuat the International Conference Centre in Abuja for the second signing of the National Peace Accord NigeriaDecides TGNElectionWatch Nigeria Buhari Atiku,0.300000012,0.300000012
Atiku,Clay Richie Five Preemptive Takeaways About Saturday Electio News Nigeria Africa NigeriaDecides NigeriaDecides2019 APC PDP Election2019 PMB Atiku Atikulated INEC Police,0,0
Atiku,RR FT Nigeria Politics NigeriaDecides Atiku Buhari APC PDP n n I think on the health issue it is likely a matter of who is less unhealthy They are both old men,-0.200000003,0.200000003
Atiku,RT time to drag u on this mad street U said under as a VP ASUU was on strike for 2 years and during that pe,-0.300000012,0.300000012
Atiku,why you go about welcoming Buhari and Atiku in various states heres a chart from bbc that will get you thinking how unemployed and how many deaths there have been in states accross Nigeria n PMBInKwara,-0.300000012,0.300000012
Atiku,RT Not even god can help Nigeria if by mistake Atiku wins the 2019 election We can only imagine the destruction Atiku w,-0.600000024,0.600000024
Atiku,RT As we promised we painted Kano red today stew everywhere n n is phenomena n n You can t love Kano a,-0.100000001,0.100000001
Atiku,RT Nigeria BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s,-0.899999976,0.899999976
Atiku,time to drag u on this mad street U said under as a VP ASUU was on strike for 2 years and during that period Atiku built a University amp employed foreigners to run it Let s break this down cos ASUU strikes can be verified n,-0.200000003,0.200000003
Atiku,BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s postnigerianews Buhari Atiku NigeriaDecides 2019Elections,-0.899999976,0.899999976
Atiku,New post Why we dumped Buhari and chose Atiku Northern Stakeholders Forum NEWSTAGE 2019Election MuhammaduBuhari NigeriaNews,-0.600000024,0.600000024
Atiku,Atiku is becoming a done deal Lagos and Kano goes,0,0
Atiku,RT Happy new week n nYou know we ve the solution to your Phone Laptop problem n nVisit us and let s help you do more n nCall us,0.699999988,0.699999988
Atiku,Real estate is an imperishable asset ever increasing in value It is the most solid security that human ingenuity has devised It is the basis of all security and about the only indestructible security RUSSELL SAGE n MondayMotivation GrammyAwards Atiku NigeriaDecides,0.699999988,0.699999988
Atiku,Don t worry about mukhtar let him be his so called BUHARIST 16th feb it will be for Atiku,0.200000003,0.200000003
Atiku,RT Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi Ye,0.100000001,0.100000001
Atiku,Nigeria news politics Those attacking Ohanaeze over endorsement of Atiku are blackmailers PDP senatorial candidate Utazi,0,0
Atiku,Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi YemiOsinbajo SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis Drake,0,0
Atiku,Guys let s vibe Do u c d peaceAccord btw buhari Atiku holding any water N if a seyilaw joke of Sunday ws pulled on u ds hw will u react,-0.400000006,0.400000006
Atiku,Not even god can help Nigeria if by mistake Atiku wins the 2019 election We can only imagine the destruction Atiku will bring to our beautiful and resourceful nation AtikuNeverAgain AtikuE AtikufailedNigeria,-0.300000012,0.300000012
Atiku,NEWSPAPERREVIEW with u and on DayBreakNigeria n n ATIKU KANO RALLY THROWS OPEN BUHARI NORTHERN STRONGHOLDS,-0.200000003,0.200000003
Atiku,2019 Major shakeup hits Nigerian Army navy police Atiku Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis,0,0
Atiku,RT 2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi Yem,-0.400000006,0.400000006
Atiku,2019 Why we dumped Buhari for Atiku Northern stakeholders Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy,-0.300000012,0.300000012
